DT_NOTIFIC,CASO_SRAG
2024-12-29,135.0
2024-12-30,308.5
2024-12-31,278.3333333333333
2025-01-01,242.25
2025-01-02,275.6
2025-01-03,276.5
2025-01-04,246.28571428571428
2025-01-05,233.71428571428572
2025-01-06,193.57142857142858
2025-01-07,183.28571428571428
2025-01-08,180.57142857142858
2025-01-09,131.42857142857142
2025-01-10,99.85714285714286
2025-01-11,91.85714285714286
2025-01-12,86.57142857142857
2025-01-13,63.857142857142854
2025-01-14,47.857142857142854
2025-01-15,38.857142857142854
2025-01-16,33.0
2025-01-17,28.714285714285715
2025-01-18,27.571428571428573
2025-01-19,26.285714285714285
2025-01-20,22.714285714285715
2025-01-21,20.142857142857142
2025-01-22,14.142857142857142
2025-01-23,14.428571428571429
2025-01-24,14.714285714285714
2025-01-25,14.857142857142858
2025-01-27,16.166666666666668
2025-01-28,16.333333333333332
2025-01-29,18.5
2025-01-30,16.166666666666668
2025-01-31,12.166666666666666
2025-02-03,14.8
2025-02-04,13.0
2025-02-05,9.0
2025-02-06,8.4
2025-02-07,8.2
