,DT_NOTIFIC,CASO_SRAG,Estimativa
0,2023-12-31,7.999999999999998,136.75083214945124
1,2024-01-01,36.99999999999999,138.72181158929394
2,2024-01-02,92.00000000000001,140.7211986072934
3,2024-01-03,144.99999999999997,142.74940263973306
4,2024-01-04,198.0,144.80683902407077
5,2024-01-05,181.00000000000006,146.89392908399185
6,2024-01-06,119.00000000000003,149.01110021568812
7,2024-01-07,108.99999999999997,151.15878597538054
8,2024-01-08,324.99999999999994,153.33742616810315
9,2024-01-09,285.00000000000006,155.54746693776687
10,2024-01-10,240.99999999999994,157.78936085852123
11,2024-01-11,216.00000000000006,160.06356702743275
12,2024-01-12,207.99999999999997,162.3705511584995
13,2024-01-13,115.00000000000001,164.71078567802022
14,2024-01-14,124.00000000000003,167.0847498213384
15,2024-01-15,298.00000000000006,169.49292973098028
16,2024-01-16,275.0000000000001,171.93581855620786
17,2024-01-17,239.00000000000009,174.4139165540062
18,2024-01-18,247.00000000000006,176.92773119152662
19,2024-01-19,221.99999999999997,179.47777725000623
20,2024-01-20,98.00000000000004,182.06457693018538
21,2024-01-21,92.00000000000001,184.68865995924426
22,2024-01-22,346.00000000000017,187.3505636992811
23,2024-01-23,252.00000000000003,190.05083325735345
24,2024-01-24,226.00000000000009,192.79002159710586
25,2024-01-25,219.00000000000003,195.5686896520063
26,2024-01-26,206.99999999999994,198.38740644021436
27,2024-01-27,94.0,201.24674918110568
28,2024-01-28,117.00000000000003,204.14730341347519
29,2024-01-29,348.99999999999994,207.08966311544432
30,2024-01-30,280.9999999999999,210.07443082609643
31,2024-01-31,235.0,213.1022177688654
32,2024-02-01,250.9999999999999,216.1736439767022
33,2024-02-02,238.00000000000009,219.28933841904617
34,2024-02-03,125.00000000000004,222.4499391306257
35,2024-02-04,135.00000000000003,225.6560933421157
36,2024-02-05,352.99999999999994,228.908457612678
37,2024-02-06,322.00000000000006,232.20769796441215
38,2024-02-07,299.99999999999994,235.55449001874408
39,2024-02-08,248.99999999999994,238.94951913478036
40,2024-02-09,293.99999999999994,242.3934805496568
41,2024-02-10,118.00000000000004,245.8870795209096
42,2024-02-11,115.00000000000001,249.4310314708987
43,2024-02-12,261.99999999999994,253.02606213331265
44,2024-02-13,195.99999999999991,256.67290770178494
45,2024-02-14,396.0,260.3723149806524
46,2024-02-15,410.00000000000017,264.12504153788655
47,2024-02-16,368.99999999999994,267.93185586022895
48,2024-02-17,176.99999999999994,271.79353751056277
49,2024-02-18,149.99999999999997,275.7108772875521
50,2024-02-19,577.0000000000001,279.6846773875827
51,2024-02-20,410.00000000000017,283.71575156903646
52,2024-02-21,429.0,287.80492531893333
53,2024-02-22,418.0,291.95303602197566
54,2024-02-23,382.00000000000006,296.1609331320283
55,2024-02-24,248.99999999999994,300.42947834607077
56,2024-02-25,213.99999999999994,304.759545780656
57,2024-02-26,633.9999999999999,309.15202215091324
58,2024-02-27,542.9999999999999,313.6078069521298
59,2024-02-28,500.9999999999999,318.1278126439511
60,2024-02-29,465.99999999999983,322.7129648372342
61,2024-03-01,465.99999999999983,327.36420248359633
62,2024-03-02,213.99999999999994,332.08247806769316
63,2024-03-03,245.0000000000001,336.86875780227
64,2024-03-04,720.0000000000001,341.7240218260238
65,2024-03-05,627.0000000000001,346.6492644043167
66,2024-03-06,582.0000000000002,351.64549413278235
67,2024-03-07,468.00000000000017,356.7137341438675
68,2024-03-08,508.00000000000006,361.85502231634973
69,2024-03-09,217.99999999999997,367.0704114878752
70,2024-03-10,237.00000000000009,372.3609696705598
71,2024-03-11,710.9999999999998,377.7277802696975
72,2024-03-12,570.0000000000002,383.17194230562103
73,2024-03-13,597.9999999999998,388.6945706387606
74,2024-03-14,538.0,394.2967961979457
75,2024-03-15,536.0,399.97976621199786
76,2024-03-16,236.0000000000001,405.74464444466093
77,2024-03-17,253.00000000000003,411.59261143291826
78,2024-03-18,764.0000000000001,417.52486472874375
79,2024-03-19,603.0000000000002,423.5426191443374
80,2024-03-20,669.0000000000002,429.647107000896
81,2024-03-21,551.0000000000002,435.8395783809691
82,2024-03-22,523.0000000000001,442.12130138445184
83,2024-03-23,238.00000000000009,448.49356238826726
84,2024-03-24,219.00000000000003,454.95766630979233
85,2024-03-25,812.0,461.5149368740798
86,2024-03-26,617.9999999999998,468.166716884932
87,2024-03-27,540.9999999999998,474.91436849988105
88,2024-03-28,429.9999999999999,481.7592735091329
89,2024-03-29,228.00000000000006,488.70283361853194
90,2024-03-30,272.0000000000001,495.7464707366032
91,2024-03-31,272.0000000000001,502.8916272657319
92,2024-04-01,920.0000000000003,510.13976639754026
93,2024-04-02,720.0000000000001,517.4923724125213
94,2024-04-03,725.9999999999998,524.9509509839907
95,2024-04-04,713.9999999999998,532.5170294864204
96,2024-04-05,663.9999999999998,540.1921573082151
97,2024-04-06,282.00000000000006,547.9779061689984
98,2024-04-07,278.99999999999994,555.8758704414702
99,2024-04-08,921.0,563.887667477904
100,2024-04-09,805.9999999999998,572.0149379413492
101,2024-04-10,811.0000000000002,580.2593461416092
102,2024-04-11,721.9999999999998,588.6225803760582
103,2024-04-12,691.9999999999998,597.1063532753739
104,2024-04-13,345.00000000000017,605.7124021542503
105,2024-04-14,323.9999999999999,614.4424893671679
106,2024-04-15,1007.0000000000003,623.2984026692891
107,2024-04-16,825.9999999999997,632.2819555825567
108,2024-04-17,827.9999999999999,641.3949877670688
109,2024-04-18,740.9999999999998,650.6393653978056
110,2024-04-19,754.0000000000001,660.0169815467874
111,2024-04-20,343.99999999999994,669.5297565707381
