DT_NOTIFIC,CASO_SRAG
2023-12-31,8.0
2024-01-01,22.5
2024-01-02,45.666666666666664
2024-01-03,70.5
2024-01-04,96.0
2024-01-05,110.16666666666667
2024-01-06,111.42857142857143
2024-01-07,125.85714285714286
2024-01-08,167.0
2024-01-09,194.57142857142858
2024-01-10,208.28571428571428
2024-01-11,210.85714285714286
2024-01-12,214.71428571428572
2024-01-13,214.14285714285714
2024-01-14,216.28571428571428
2024-01-15,212.42857142857142
2024-01-16,211.0
2024-01-17,210.71428571428572
2024-01-18,215.14285714285714
2024-01-19,217.14285714285714
2024-01-20,214.71428571428572
2024-01-21,210.14285714285714
2024-01-22,217.0
2024-01-23,213.71428571428572
2024-01-24,211.85714285714286
2024-01-25,207.85714285714286
2024-01-26,205.71428571428572
2024-01-27,205.14285714285714
2024-01-28,208.71428571428572
2024-01-29,209.14285714285714
2024-01-30,213.28571428571428
2024-01-31,214.57142857142858
2024-02-01,219.14285714285714
2024-02-02,223.57142857142858
2024-02-03,228.0
2024-02-04,230.57142857142858
2024-02-05,231.14285714285714
2024-02-06,237.0
2024-02-07,246.28571428571428
2024-02-08,246.0
2024-02-09,254.0
2024-02-10,253.0
2024-02-11,250.14285714285714
2024-02-12,237.14285714285714
2024-02-13,219.14285714285714
2024-02-14,232.85714285714286
2024-02-15,255.85714285714286
2024-02-16,266.57142857142856
2024-02-17,275.0
2024-02-18,280.0
2024-02-19,325.0
2024-02-20,355.57142857142856
2024-02-21,360.2857142857143
2024-02-22,361.42857142857144
2024-02-23,363.2857142857143
2024-02-24,373.57142857142856
2024-02-25,382.7142857142857
2024-02-26,390.85714285714283
2024-02-27,409.85714285714283
2024-02-28,420.14285714285717
2024-02-29,427.0
2024-03-01,439.0
2024-03-02,434.0
2024-03-03,438.42857142857144
2024-03-04,450.7142857142857
2024-03-05,462.7142857142857
2024-03-06,474.2857142857143
2024-03-07,474.57142857142856
2024-03-08,480.57142857142856
2024-03-09,481.14285714285717
2024-03-10,480.0
2024-03-11,478.7142857142857
2024-03-12,470.57142857142856
2024-03-13,472.85714285714283
2024-03-14,482.85714285714283
2024-03-15,486.85714285714283
2024-03-16,489.42857142857144
2024-03-17,491.7142857142857
2024-03-18,499.2857142857143
2024-03-19,504.0
2024-03-20,514.1428571428571
2024-03-21,516.0
2024-03-22,514.1428571428571
2024-03-23,514.4285714285714
2024-03-24,509.57142857142856
2024-03-25,516.4285714285714
2024-03-26,518.5714285714286
