,DT_NOTIFIC,CASO_SRAG,Estimativa
122,2024-05-01,715.8571428571425,1184.6039342682177
123,2024-05-02,725.5714285714288,1174.6688564278288
124,2024-05-03,722.1428571428572,1164.8171024468663
125,2024-05-04,725.4285714285712,1155.047973501862
126,2024-05-05,729.0000000000001,1145.3607766302653
127,2024-05-06,722.7142857142854,1135.754824681288
128,2024-05-07,706.8571428571425,1126.2294362671628
129,2024-05-08,766.4285714285714,1116.7839357148089
130,2024-05-09,740.8571428571428,1107.4176530179031
131,2024-05-10,725.5714285714288,1098.1299237893572
132,2024-05-11,718.1428571428575,1088.920089214186
133,2024-05-12,707.5714285714283,1079.7874960027773
134,2024-05-13,707.5714285714283,1070.7314963445513
135,2024-05-14,703.2857142857146,1061.751447862009
136,2024-05-15,699.5714285714282,1052.846713565165
137,2024-05-16,703.2857142857146,1044.0166618063643
138,2024-05-17,715.8571428571425,1035.260666235476
139,2024-05-18,720.7142857142854,1026.5781057554655
140,2024-05-19,727.4285714285717,1017.9683644783358
141,2024-05-20,740.5714285714284,1009.4308316814411
142,2024-05-21,745.2857142857146,1000.9649017641656
143,2024-05-22,748.9999999999998,992.5699742049662
144,2024-05-23,745.1428571428573,984.2454535187754
145,2024-05-24,737.7142857142857,975.9907492147598
146,2024-05-25,739.1428571428573,967.8052757544356
147,2024-05-26,742.8571428571429,959.6884525101341
148,2024-05-27,730.4285714285713,951.6397037238148
149,2024-05-28,728.2857142857142,943.658458466225
150,2024-05-29,719.8571428571431,935.7441505964011
151,2024-05-30,664.142857142857,927.896218721511
152,2024-05-31,640.8571428571427,920.1141061570314
153,2024-06-01,643.1428571428572,912.3972608872607
154,2024-06-02,640.2857142857144,904.7451355261607
155,2024-06-03,645.8571428571431,897.1571872785312
156,2024-06-04,653.5714285714283,889.632877901505
157,2024-06-05,656.9999999999997,882.1716736663693
158,2024-06-06,722.4285714285713,874.7730453207057
159,2024-06-07,740.8571428571428,867.4364680508489
160,2024-06-08,739.5714285714288,860.1614214446591
161,2024-06-09,738.4285714285716,852.9473894546076
162,2024-06-10,737.8571428571429,845.7938603611702
163,2024-06-11,740.2857142857142,838.7003267365311
164,2024-06-12,738.2857142857143,831.6662854085879
165,2024-06-13,721.7142857142858,824.6912374252588
166,2024-06-14,724.5714285714284,817.7746880190913
167,2024-06-15,718.8571428571427,810.916146572166
168,2024-06-16,720.7142857142854,804.115126581295
169,2024-06-17,722.5714285714287,797.3711456235125
170,2024-06-18,712.5714285714287,790.6837253218541
171,2024-06-19,717.4285714285717,784.0523913114248
172,2024-06-20,718.5714285714287,777.4766732057493
173,2024-06-21,713.0,770.9561045634064
174,2024-06-22,710.2857142857146,764.4902228549414
175,2024-06-23,703.1428571428568,758.0785694300589
176,2024-06-24,681.7142857142856,751.7206894850875
177,2024-06-25,691.2857142857146,745.416132030719
178,2024-06-26,691.8571428571428,739.1644498600181
179,2024-06-27,678.4285714285716,732.9651995167006
180,2024-06-28,669.4285714285717,726.8179412636771
181,2024-06-29,668.7142857142856,720.7222390518604
182,2024-06-30,662.142857142857,714.6776604892348
183,2024-07-01,655.7142857142859,708.6837768101857
184,2024-07-02,620.1428571428572,702.7401628450849
185,2024-07-03,595.2857142857146,696.8463969901317
186,2024-07-04,602.4285714285716,691.0020611774465
187,2024-07-05,588.7142857142857,685.2067408454168
188,2024-07-06,591.8571428571427,679.4600249092895
189,2024-07-07,589.4285714285713,673.7615057320116
190,2024-07-08,582.7142857142857,668.1107790953149
191,2024-07-09,578.8571428571428,662.5074441710432
192,2024-07-10,584.7142857142858,656.95110349272
193,2024-07-11,574.0000000000002,651.4413629273542
194,2024-07-12,572.2857142857142,645.9778316474835
195,2024-07-13,559.8571428571428,640.560122103451
196,2024-07-14,564.2857142857144,635.187849995915
197,2024-07-15,555.1428571428572,629.8606342485886
198,2024-07-16,556.0,624.5780969812089
199,2024-07-17,531.1428571428572,619.3398634827328
200,2024-07-18,520.8571428571428,614.1455621847571
201,2024-07-19,523.142857142857,608.9948246351609
202,2024-07-20,523.8571428571427,603.8872854719705
203,2024-07-21,517.8571428571428,598.8225823974433
204,2024-07-22,513.2857142857143,593.8003561523681
205,2024-07-23,502.8571428571427,588.8202504905812
206,2024-07-24,502.28571428571416,583.8819121536965
207,2024-07-25,496.14285714285705,578.9849908460482
208,2024-07-26,489.5714285714285,574.1291392098423
209,2024-07-27,484.5714285714286,569.3140128005174
210,2024-07-28,485.71428571428595,564.5392700623115
211,2024-07-29,471.14285714285717,559.8045723040349
212,2024-07-30,473.57142857142856,555.1095836750449
213,2024-07-31,468.28571428571433,550.4539711414227
214,2024-08-01,469.57142857142856,545.8374044623498
215,2024-08-02,461.1428571428573,541.2595561666836
216,2024-08-03,459.71428571428584,536.7201015297276
217,2024-08-04,455.57142857142856,532.2187185501977
218,2024-08-05,463.42857142857156,527.7550879273815
219,2024-08-06,454.4285714285715,523.328893038489
220,2024-08-07,454.1428571428572,518.9398199161938
221,2024-08-08,454.4285714285715,514.587557226361
222,2024-08-09,465.2857142857143,510.27179624596414
223,2024-08-10,472.99999999999983,505.99223084118574
224,2024-08-11,472.99999999999983,501.74855744570226
225,2024-08-12,479.7142857142856,497.5404750391507
226,2024-08-13,486.71428571428567,493.36768512577635
227,2024-08-14,487.28571428571405,489.22989171325906
228,2024-08-15,487.28571428571405,485.12680129171775
229,2024-08-16,482.1428571428573,481.0581228128898
230,2024-08-17,484.0000000000002,477.02356766948674
231,2024-08-18,494.5714285714284,473.0228496747216
232,2024-08-19,510.5714285714283,469.05568504200926
