,DT_NOTIFIC,CASO_SRAG,Estimativa
0,2023-12-31,7.999999999999998,117.38155214044333
1,2024-01-01,22.499999999999996,119.42862062415884
2,2024-01-02,45.66666666666666,121.51138883496613
3,2024-01-03,70.5,123.630479356098
4,2024-01-04,95.99999999999999,125.78652562828994
5,2024-01-05,110.16666666666667,127.9801721391289
6,2024-01-06,111.42857142857143,130.21207461570413
7,2024-01-07,125.85714285714289,132.48290022061772
8,2024-01-08,167.00000000000006,134.79332775141378
9,2024-01-09,194.5714285714285,137.14404784348505
10,2024-01-10,208.2857142857143,139.53576317651854
11,2024-01-11,210.85714285714283,141.9691886845412
12,2024-01-12,214.7142857142857,144.44505176962858
13,2024-01-13,214.1428571428571,146.9640925193409
14,2024-01-14,216.28571428571422,149.52706392795068
15,2024-01-15,212.4285714285714,152.13473212152846
16,2024-01-16,211.00000000000003,154.78787658695404
17,2024-01-17,210.7142857142856,157.48729040492162
18,2024-01-18,215.1428571428571,160.23378048700832
19,2024-01-19,217.14285714285717,163.02816781687673
20,2024-01-20,214.7142857142857,165.87128769568457
21,2024-01-21,210.1428571428572,168.76398999177349
22,2024-01-22,217.00000000000003,171.70713939471284
23,2024-01-23,213.71428571428578,174.70161567377335
24,2024-01-24,211.85714285714295,177.74831394090884
25,2024-01-25,207.85714285714292,180.84814491832387
26,2024-01-26,205.71428571428575,184.0020352107079
27,2024-01-27,205.14285714285708,187.2109275822169
28,2024-01-28,208.71428571428572,190.4757812382852
29,2024-01-29,209.14285714285725,193.79757211235255
30,2024-01-30,213.28571428571425,197.17729315759073
31,2024-01-31,214.5714285714285,200.61595464371848
32,2024-02-01,219.14285714285708,204.11458445899214
33,2024-02-02,223.5714285714285,207.67422841746324
34,2024-02-03,228.00000000000006,211.29595057159423
35,2024-02-04,230.5714285714286,214.98083353032615
36,2024-02-05,231.14285714285725,218.72997878269322
37,2024-02-06,237.00000000000009,222.54450702708112
38,2024-02-07,246.2857142857142,226.4255585062273
39,2024-02-08,245.99999999999991,230.3742933480635
40,2024-02-09,254.0,234.39189191250236
41,2024-02-10,253.00000000000003,238.47955514427193
42,2024-02-11,250.14285714285714,242.63850493190333
43,2024-02-12,237.14285714285725,246.86998447297862
44,2024-02-13,219.14285714285708,251.17525864574915
45,2024-02-14,232.85714285714286,255.5556143872341
46,2024-02-15,255.85714285714295,260.0123610779129
47,2024-02-16,266.5714285714286,264.5468309331267
48,2024-02-17,275.0000000000001,269.16037940130576
49,2024-02-18,279.9999999999999,273.8543855691411
50,2024-02-19,324.99999999999994,278.63025257382276
51,2024-02-20,355.5714285714286,283.48940802246705
52,2024-02-21,360.28571428571445,288.4333044188584
53,2024-02-22,361.4285714285715,293.463419597633
54,2024-02-23,363.28571428571445,298.58125716603496
55,2024-02-24,373.57142857142867,303.788346953376
56,2024-02-25,382.71428571428567,309.0862454683338
57,2024-02-26,390.8571428571428,314.47653636422467
58,2024-02-27,409.8571428571427,319.96083091239177
59,2024-02-28,420.1428571428573,325.54076848384693
60,2024-02-29,427.0000000000001,331.21801703931396
61,2024-03-01,439.00000000000006,336.9942736278168
62,2024-03-02,434.0000000000001,342.8712648939633
63,2024-03-03,438.42857142857133,348.85074759407553
64,2024-03-04,450.7142857142859,354.9345091213213
65,2024-03-05,462.7142857142857,361.12436804000356
66,2024-03-06,474.28571428571416,367.4221746291675
67,2024-03-07,474.57142857142856,373.82981143568776
68,2024-03-08,480.57142857142867,380.3491938370016
69,2024-03-09,481.14285714285705,386.9822706136552
70,2024-03-10,480.0,393.7310245318353
71,2024-03-11,478.7142857142859,400.59747293605983
72,2024-03-12,470.5714285714286,407.5836683522042
73,2024-03-13,472.8571428571429,414.6916991010452
74,2024-03-14,482.85714285714295,421.92368992250323
75,2024-03-15,486.8571428571427,429.28180261077233
76,2024-03-16,489.4285714285713,436.7682366605255
77,2024-03-17,491.71428571428567,444.38522992439033
78,2024-03-18,499.2857142857142,452.13505928189005
79,2024-03-19,504.00000000000006,460.02004132005055
80,2024-03-20,514.1428571428572,468.0425330258774
81,2024-03-21,516.0,476.2049324909083
82,2024-03-22,514.1428571428572,484.50967962805345
83,2024-03-23,514.4285714285716,492.95925690093696
84,2024-03-24,509.57142857142856,501.55619006595725
85,2024-03-25,516.4285714285714,510.3030489272884
86,2024-03-26,518.5714285714284,519.2024481050496
87,2024-03-27,500.28571428571433,528.257047816869
88,2024-03-28,482.9999999999998,537.4695546730799
89,2024-03-29,440.8571428571428,546.8427224857825
90,2024-03-30,445.7142857142858,556.3793530920168
91,2024-03-31,453.2857142857143,566.0822971912903
92,2024-04-01,468.7142857142857,575.9544551977127
93,2024-04-02,483.28571428571416,585.99877810699
94,2024-04-03,509.71428571428584,596.2182683785393
95,2024-04-04,550.2857142857144,606.6159808329874
96,2024-04-05,612.5714285714286,617.1950235653209
97,2024-04-06,613.9999999999999,627.9585588739607
98,2024-04-07,614.9999999999998,638.9098042060405
99,2024-04-08,615.1428571428569,650.052033119168
100,2024-04-09,627.4285714285714,661.3885762599614
101,2024-04-10,639.5714285714283,672.9228223596494
102,2024-04-11,640.7142857142857,684.6582192470341
103,2024-04-12,644.7142857142857,696.5982748791191
104,2024-04-13,653.7142857142857,708.7465583897127
105,2024-04-14,660.1428571428569,721.1067011563164
106,2024-04-15,672.4285714285713,733.68239788562
107,2024-04-16,675.2857142857146,746.4774077179275
108,2024-04-17,677.7142857142854,759.4955553508427
109,2024-04-18,680.4285714285713,772.7407321825522
110,2024-04-19,689.2857142857144,786.2168974750466
