,Dia,Suscetiveis,Infectados,Recuperados
23,23.057356608478802,2.460354380566798e+18,189.50964680889405,1758385011.2449303
24,24.059850374064837,2.4603543804766254e+18,192.1813215952506,1848557736.2513504
25,25.06234413965087,2.460354380385183e+18,194.88707130831838,1939999524.6147523
26,26.064837905236907,2.4603543802924605e+18,197.62668523521177,2032722625.9152918
27,27.06733167082294,2.460354380198439e+18,200.40057846772746,2126744011.52835
28,28.069825436408976,2.460354380103102e+18,203.20920430963884,2222081096.762657
29,29.07231920199501,2.460354380006432e+18,206.05300888538326,2318751410.310496
30,30.074812967581046,2.4603543799084104e+18,208.9324311400619,2416772594.2477016
31,31.07730673316708,2.4603543798090204e+18,211.84790283943988,2516162404.033664
32,32.079800498753116,2.460354379708244e+18,214.79984856994628,2616938708.5113244
33,33.082294264339154,2.4603543796060636e+18,217.78868573867402,2719119489.907177
34,34.084788029925186,2.46035437950246e+18,220.81482457337992,2822722843.831269
35,35.08728179551122,2.460354379397416e+18,223.87866812248484,2927766979.2772007
36,36.089775561097255,2.460354379290913e+18,226.98061225507337,3034270218.6221256
37,37.092269326683294,2.460354379182932e+18,230.12104566089423,3142250997.62675
38,38.094763092269325,2.460354379073455e+18,233.30034985035977,3251727865.4353323
39,39.097256857855356,2.460354378962463e+18,236.5188991545465,3362719484.5756836
40,40.099750623441395,2.4603543788499384e+18,239.77706072519476,3475244630.959171
41,41.10224438902743,2.4603543787358607e+18,243.07519453470877,3589322193.88071
42,42.104738154613464,2.4603543786202117e+18,246.41365337615665,3704971176.01877
43,43.107231920199496,2.4603543785029724e+18,249.79278286327047,3822210693.435378
44,44.109725685785534,2.460354378384123e+18,253.21292143044624,3941059975.576108
45,45.11221945137157,2.4603543782636447e+18,256.67440033274386,4061538365.2700896
46,46.114713216957604,2.4603543781415173e+18,260.17754364588706,4183665318.7300043
47,47.117206982543635,2.4603543780177224e+18,263.72266826626355,4307460405.552088
48,48.119700748129674,2.4603543778922394e+18,267.3100839109251,4432943308.716127
49,49.12219451371571,2.460354377765049e+18,270.940093117587,4560133824.5854645
50,50.12468827930174,2.460354377636131e+18,274.61299124462886,4689051862.906991
51,51.127182044887775,2.4603543775054653e+18,278.329066471094,4819717446.811155
52,52.12967581047381,2.460354377373032e+18,282.08859979668966,4952150712.811957
53,53.13216957605985,2.460354377238811e+18,285.891865041787,5086371910.806948
54,54.13466334164588,2.4603543771027814e+18,289.73912884742117,5222401404.07723
55,55.137157107231914,2.4603543769649234e+18,293.6306506752911,5360259669.287467
56,56.13965087281795,2.4603543768252155e+18,297.56668280775983,5499967296.485867
57,57.14214463840399,2.460354376683638e+18,301.547470347854,5641544989.104194
58,58.14463840399002,2.460354376540169e+18,305.5732512192645,5785013563.957762
59,59.147132169576054,2.460354376394789e+18,309.6442561663458,5930393951.245444
60,60.14962593516209,2.4603543762474757e+18,313.76070875411665,6077707194.549664
61,61.15211970074813,2.4603543760982083e+18,317.9228253682594,6226974450.836393
62,62.15461346633416,2.460354375946966e+18,322.1308152151205,6378216990.455162
63,63.15710723192019,2.4603543757937265e+18,326.3848803217101,6531456197.139051
64,64.15960099750623,2.460354375638469e+18,330.68521553570264,6686713568.004698
65,65.16209476309227,2.460354375481172e+18,335.032008525436,6844010713.552284
66,66.16458852867831,2.4603543753218135e+18,339.42543977991227,7003369357.665552
67,67.16708229426433,2.460354375160371e+18,343.86568260879744,7164811337.611792
68,68.16957605985037,2.460354374996824e+18,348.3529031424214,7328358604.041855
69,69.17206982543641,2.4603543748311496e+18,352.8872603317777,7494033220.990135
70,70.17456359102243,2.460354374663325e+18,357.46890594852414,7661857365.874582
71,71.17705735660847,2.4603543744933294e+18,362.09798458498244,7831853329.496708
72,72.17955112219451,2.460354374321139e+18,366.7746336541379,8004043516.041563
73,73.18204488778055,2.4603543741467325e+18,371.49898338964,8178450443.077763
74,74.18453865336659,2.460354373970086e+18,376.271156845802,8355096741.557463
75,75.18703241895261,2.4603543737911777e+18,381.0912698976011,8534005155.816381
76,76.18952618453865,2.460354373609984e+18,385.95943124067855,8715198543.573793
77,77.19201995012469,2.4603543734264827e+18,390.87574239133943,8898699875.932514
78,78.19451371571071,2.46035437324065e+18,395.84029768655245,9084532237.378918
79,79.19700748129675,2.460354373052464e+18,400.8531842839508,9272718825.782936
80,80.19950124688279,2.4603543728619e+18,405.9144821618311,9463282952.39805
81,81.20199501246883,2.4603543726689347e+18,411.024264119154,9656248041.861288
82,82.20448877805487,2.460354372473545e+18,416.1825957755442,9851637632.193237
83,83.20698254364089,2.4603543722757074e+18,421.3895355712901,10049475374.798038
84,84.20947630922693,2.4603543720753976e+18,426.64513476734425,10249785034.46338
85,85.21197007481297,2.4603543718725924e+18,431.949437445323,10452590489.360516
86,86.21446384039899,2.460354371667267e+18,437.3024805075064,10657915731.044228
87,87.21695760598503,2.4603543714593976e+18,442.70429367683886,10865784864.45288
88,88.21945137157107,2.4603543712489605e+18,448.15489949692835,11076222107.908375
89,89.2219451371571,2.4603543710359306e+18,453.65431333204697,11289251793.116163
90,90.22443890274315,2.4603543708202844e+18,459.2025433671304,11504898365.165257
91,91.22693266832917,2.4603543706019963e+18,464.7995905356103,11723186379.539663
92,92.22942643391521,2.4603543703811133e+18,470.4437095614083,11944069593.074575
93,93.23192019950125,2.460354370157671e+18,476.1332793349608,12167511732.05955
94,94.23441396508727,2.4603543699316337e+18,481.86839111087926,12393549090.872108
95,95.23690773067331,2.460354369702966e+18,487.6491045545001,12622217254.474138
96,96.23940149625935,2.460354369471632e+18,493.4754477418841,12853551098.411858
97,97.24189526184539,2.460354369237598e+18,499.3474171598168,13087584788.81584
98,98.24438902743142,2.460354369000831e+18,505.2649777058081,13324351782.401003
99,99.24688279301745,2.460354368761298e+18,511.22806268809273,13563884826.466608
100,100.24937655860349,2.460354368518967e+18,517.2365738256301,13806215958.89628
101,101.25187032418953,2.4603543682738063e+18,523.2903812481039,14051376508.15797
102,102.25436408977555,2.460354368025786e+18,529.3893234959227,14299397093.30399
103,103.25685785536159,2.460354367774875e+18,535.5332075202195,14550307623.971
104,104.25935162094763,2.4603543675210455e+18,541.7218086828523,14804137300.379997
105,105.26184538653366,2.4603543672642683e+18,547.9548707564032,15060914613.336338
106,106.2643391521197,2.4603543670045153e+18,554.2321059241791,15320667344.229715
